ID	Species	Site	State	SpecificRegion	GeneralRegion	S_W_N	Year	Season	Sex	Eggs
AO_F21_APFL_1	Allograpta obliqua	Apopka_FL	FL	FL	Southeast	South	2021	Fall	FM	no
AO_F21_APFL_2	Allograpta obliqua	Apopka_FL	FL	FL	Southeast	South	2021	Fall	M	no
AO_F21_APFL_4	Allograpta obliqua	Apopka_FL	FL	FL	Southeast	South	2021	Fall	M	no
AO_F21_APFL_5	Allograpta obliqua	Apopka_FL	FL	FL	Southeast	South	2021	Fall	FM	yes
AO_F21_AT2AL_1	Allograpta obliqua	Athens_AL 2	AL	WestApps	Southeast	South	2021	Fall	FM	no
AO_F21_AT2AL_2	Allograpta obliqua	Athens_AL 2	AL	WestApps	Southeast	South	2021	Fall	M	no
AO_F21_ATAL_1	Allograpta obliqua	Athens_AL 1	AL	WestApps	Southeast	South	2021	Fall	FM	some
AO_F21_ATAL_2	Allograpta obliqua	Athens_AL 1	AL	WestApps	Southeast	South	2021	Fall	FM	no
AO_F21_ATGA_1	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2021	Fall	FM	yes
AO_F21_ATGA_2	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2021	Fall	FM	no
AO_F21_ATGA_4	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2021	Fall	FM	yes
AO_F21_ATGA_6	Allograpta obliqua	Athens_GA	GA	EastApps	Southeast	South	2021	Fall	M	no
AO_F21_AUAL_4	Allograpta obliqua	Auburn_AL	AL	WestApps	Southeast	South	2021	Fall	FM	no
AO_F21_AUAL_8	Allograpta obliqua	Auburn_AL	AL	WestApps	Southeast	South	2021	Fall	M	no
AO_F21_AUAL_9	Allograpta obliqua	Auburn_AL	AL	WestApps	Southeast	South	2021	Fall	M	no
AO_F21_CIFL_1	Allograpta obliqua	Citra_FL	FL	FL	Southeast	South	2021	Fall	FM	yes
AO_F21_CIFL_4	Allograpta obliqua	Citra_FL	FL	FL	Southeast	South	2021	Fall	FM	no
AO_F21_CIFL_9	Allograpta obliqua	Citra_FL	FL	FL	Southeast	South	2021	Fall	M	no
AO_F21_DVAR_1	Allograpta obliqua	DeValls_Bluff_AR	AR	WestApps	Southeast	South	2021	Fall	FM	yes
AO_F21_GRMS_1	Allograpta obliqua	Greenville_MS	MS	WestApps	Southeast	South	2021	Fall	M	no
AO_F21_GUON_1	Allograpta obliqua	Guelph_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	yes
AO_F21_GUON_2	Allograpta obliqua	Guelph_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	yes
AO_F21_GUON_3	Allograpta obliqua	Guelph_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	no
AO_F21_PDSC_1	Allograpta obliqua	Pee_Dee_SC	SC	EastApps	Southeast	South	2021	Fall	FM	yes
AO_F21_PDSC_2	Allograpta obliqua	Pee_Dee_SC	SC	EastApps	Southeast	South	2021	Fall	FM	yes
AO_F21_PRON_1	Allograpta obliqua	Port_Rowan_ONT	ONT	EastCAN	Midwest	North	2021	Fall	M	no
AO_F21_PRON_2	Allograpta obliqua	Port_Rowan_ONT	ONT	EastCAN	Midwest	North	2021	Fall	M	no
AO_F21_PRON_3	Allograpta obliqua	Port_Rowan_ONT	ONT	EastCAN	Midwest	North	2021	Fall	FM	no
AO_F21_QUFL_1	Allograpta obliqua	Quincy_FL	FL	FL	Southeast	South	2021	Fall	FM	yes
