ID,16S_Filtered,Isotope_data,Isotopes,MigratoryStatus
AO_F21_APFL_1,Yes,Yes,-75.02916,No
AO_F21_APFL_2,No,Yes,-83.04906,No
AO_F21_APFL_4,No,Yes,-80.31612,No
AO_F21_APFL_5,No,Yes,-88.60692,No
AO_F21_AT2AL_1,No,No,None,Unknown
AO_F21_AT2AL_2,No,No,None,Unknown
AO_F21_ATAL_1,No,Yes,-98.51934,No
AO_F21_ATAL_2,No,Yes,-103.99908,Maybe
AO_F21_ATGA_1,No,Yes,-77.87364,No
AO_F21_ATGA_2,No,Yes,-96.82756,No
AO_F21_ATGA_4,No,Yes,-95.488,No
AO_F21_ATGA_6,Yes,Yes,-82.80488,No
AO_F21_AUAL_4,No,Yes,-97.10814,No
AO_F21_AUAL_8,No,No,None,Unknown
AO_F21_AUAL_9,No,No,None,Unknown
AO_F21_CIFL_1,No,Yes,-74.38278,No
AO_F21_CIFL_4,No,Yes,-86.89066,No
AO_F21_CIFL_9,No,Yes,-76.28764,No
AO_F21_DVAR_1,No,Yes,-111.15336,Yes
AO_F21_GRMS_1,Yes,No,None,Unknown
AO_F21_GUON_1,No,No,None,Unknown
AO_F21_GUON_2,No,No,None,Unknown
AO_F21_GUON_3,Yes,No,None,Unknown
AO_F21_PDSC_1,No,Yes,-99.35924,No
AO_F21_PDSC_2,No,Yes,-93.29812,No
AO_F21_PRON_1,Yes,No,None,Unknown
AO_F21_PRON_2,No,No,None,Unknown
AO_F21_PRON_3,Yes,No,None,Unknown
AO_F21_QUFL_1,No,Yes,-77.01354,No
AO_F21_QUFL_3,No,Yes,-88.82192,No
AO_F21_QUFL_9,No,Yes,-73.22056,No
AO_F21_SHFL_1,No,Yes,-79.25956,No
AO_F21_SHFL_2,No,Yes,-71.5943,No
AO_F21_SHFL_3,No,Yes,-90.66412,No
AO_F21_SLKY_2,No,Yes,-103.60624,No
AO_F21_SLKY_3,Yes,Yes,-98.03616,No
AO_F21_SLKY_4,No,Yes,-104.95784,No
AO_F21_STMS_4,No,Yes,-86.31072,No
AO_F21_STMS_6,No,No,None,Unknown
AO_F21_STMS_7,No,No,None,Unknown
AO_F21_STMS_8,No,No,None,Unknown
AO_F21_SUVA_5,Yes,Yes,-94.49844,No
AO_F21_SUVA_6,No,Yes,-108.82788,No
AO_F21_SUVA_7,No,Yes,-107.30764,No
AO_F21_TIGA_1,Yes,Yes,-79.31568,No
AO_F21_TIGA_4,No,Yes,-55.106,No
AO_F21_TIGA_9,No,Yes,-74.809,No
AO_F21_TYGA_1,No,No,None,Unknown
AO_F21_TYGA_2,No,No,None,Unknown
AO_F21_URIL_1,Yes,Yes,-107.12924,No
AO_F21_URIL_3,Yes,Yes,-153.81498,Yes
AO_F21_URIL_4,No,Yes,-86.2264,No
AO_F22_ARTX_1,Yes,Yes,-79.32954,No
AO_F22_ARTX_2,No,Yes,-81.79032,No
AO_F22_ARTX_3,No,Yes,-48.6372,No
AO_F22_ATAL_6,No,No,None,Unknown
AO_F22_ATAL_7,No,No,None,Unknown
AO_F22_BRSD_1,No,No,None,Unknown
AO_F22_BRSD_2,Yes,No,None,Unknown
AO_F22_BRSD_3,No,No,None,Unknown
AO_F22_BRSD_4,Yes,No,None,Unknown
AO_F22_CECA_1,No,No,None,Unknown
