"","qseqid","sseqid","stitle","evalue","bitscore","pident","qcovs","qcovhsp","query","superkingdom","phylum","class","order","family","genus","species"
"1","ASV1","gi|1851967025|gb|MT590312.1|","Wolbachia endosymbiont of Aedes albopictus clone WCAAL1 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"167957","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Aedes albopictus"
"2","ASV10","gi|298397700|gb|HM112394.1|","Uncultured Acetobacteraceae bacterium clone SHOB703 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"169975","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,"uncultured Acetobacteraceae bacterium"
"3","ASV100","gi|1852867415|gb|MT604792.1|","Leuconostoc lactis strain 2334 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1246","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","Leuconostoc lactis"
"4","ASV1000","gi|1605039631|gb|MK726697.1|","Uncultured bacterium clone OTU_356 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"5","ASV1001","gi|1109493799|gb|KY278380.1|","Uncultured bacterium clone CP_Otu3169 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"6","ASV1002","gi|332649195|gb|JF814605.1|","Uncultured Methylobacterium sp. clone HL05C01c82 16S ribosomal RNA gene, partial sequence",1.14e-118,440,98.024,100,100,"157278","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium","uncultured Methylobacterium sp."
"7","ASV1003","gi|1605040853|gb|MK727919.1|","Uncultured bacterium clone OTU_1812 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"8","ASV1004","gi|2177203919|gb|OM239123.1|","Uncultured bacterium clone 826 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"9","ASV1005","gi|1208902494|gb|MF363971.1|","Uncultured bacterium clone 216823_1 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"10","ASV1006","gi|1008324415|gb|KU154159.1|","Uncultured bacterium clone 2.3G_14705 16S ribosomal RNA gene, partial sequence",1.46e-127,470,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"11","ASV1007","gi|371842457|emb|FQ727911.1|","16S rRNA amplicon fragment from a soil sample (ferralsol, Madagascar) resulting from a 16 days laboratory incubation experiment in the presence of 13C-enriched wheat-straw : Light-DNA fraction (DNA-SIP technique)",2.45e-120,446,98.419,100,100,"32644",NA,NA,NA,NA,NA,NA,"unidentified"
"12","ASV1008","gi|1855144603|gb|MT611301.1|","Skermanella sp. strain T185 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1883428","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Skermanella","Skermanella sp."
"13","ASV1009","gi|643417315|gb|KF097006.1|","Uncultured bacterium clone nck231h08c1 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"14","ASV101","gi|1821192785|gb|CP049887.1|","Vagococcus hydrophili strain HDW17B chromosome, complete genome",5.23e-127,468,100,100,100,"2714947","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","Vagococcus hydrophili"
"15","ASV1010","gi|1149292878|gb|KU467121.1|","Uncultured bacterium clone dongzy2tff26483 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"16","ASV1011","gi|1860297679|gb|MT649753.1|","Stenotrophomonas sp. strain Y 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"69392","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","Stenotrophomonas sp."
"17","ASV1012","gi|939589527|gb|KR842450.1|","Uncultured Salinibacter sp. clone OTU_11166 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"309166","Bacteria","Rhodothermota","Rhodothermia","Rhodothermales","Salinibacteraceae","Salinibacter","uncultured Salinibacter sp."
"18","ASV1013","gi|1771868507|emb|LR642792.1|","uncultured bacterium partial 16S rRNA gene",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"19","ASV1014","gi|1679569628|emb|LR595233.1|","uncultured bacterium partial 16S rRNA gene",1.13e-123,457,99.209,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"20","ASV1015","gi|1337429631|gb|MG876599.1|","Uncultured bacterium clone 7D_1108_14541_12931 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"21","ASV1016","gi|1771903975|emb|LR640940.1|","uncultured bacterium partial 16S rRNA gene",2.45e-120,446,98.419,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"22","ASV1017","gi|1173236256|gb|KY876383.1|","Uncultured bacterium clone denovo21128 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"23","ASV1018","gi|1839347544|gb|MT445739.1|","Belnapia sp. strain QT21 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1883106","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Roseomonadaceae","Belnapia","Belnapia sp."
"24","ASV1019","gi|1002687003|gb|KU106681.1|","Uncultured bacterium clone 9521 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"25","ASV102","gi|1858512546|gb|MT625949.1|","Fructobacillus sp. strain CRL 2054 = H1-167 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"2171999","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Fructobacillus","Fructobacillus sp."
"26","ASV1020","gi|237930449|gb|FJ518686.1|","Uncultured Bifidobacterium sp. clone 32F_A_H06 16S ribosomal RNA gene, partial sequence",2.47e-115,429,97.233,100,100,"165187","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","uncultured Bifidobacterium sp."
"27","ASV1021","gi|918399455|emb|LN812948.1|","Pantoea vagans partial 16S rRNA gene, strain CartM2.11",1.16e-108,407,95.669,100,100,"470934","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea vagans"
"28","ASV1022","gi|1833253129|gb|MT360225.1|","Patulibacter sp. strain YMA_12 16S ribosomal RNA gene, partial sequence",5.26e-122,451,98.814,100,100,"1912859","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Patulibacteraceae","Patulibacter","Patulibacter sp."
"29","ASV1023","gi|242251751|gb|GQ298753.1|","Uncultured bacterium clone 16saw77-2e12.w2ka 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"30","ASV1024","gi|1605041253|gb|MK728319.1|","Uncultured bacterium clone OTU_2349 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"31","ASV1026","gi|1835153232|gb|MT381731.1|","Gilliamella apicola strain LU6 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1196095","Bacteria","Pseudomonadota","Gammaproteobacteria","Orbales","Orbaceae","Gilliamella","Gilliamella apicola"
"32","ASV1027","gi|296957693|gb|HM264098.1|","Uncultured eukaryote clone ncd300g05c1 16S ribosomal RNA gene, partial sequence; plastid",2.01e-91,350,91.506,100,100,"100272","Eukaryota",NA,NA,NA,NA,NA,"uncultured eukaryote"
"33","ASV1028","gi|2637774949|emb|OY972137.1|","uncultured Gammaproteobacteria bacterium partial 16S rRNA gene",1.46e-127,470,100,100,100,"86473","Bacteria","Pseudomonadota","Gammaproteobacteria",NA,NA,NA,"uncultured Gammaproteobacteria bacterium"
"34","ASV1029","gi|1402404732|gb|MG049772.1|","Ignatzschineria sp. strain LJ52 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"2136793","Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Ignatzschineriaceae","Ignatzschineria","Ignatzschineria sp."
"35","ASV103","gi|1857657615|gb|MT613452.1|","Acetobacter pasteurianus subsp. pasteurianus strain 3035 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"481145","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter pasteurianus"
"36","ASV1030","gi|1173235652|gb|KY875779.1|","Uncultured bacterium clone denovo18229 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"37","ASV1031","gi|1809483222|gb|MT067525.1|","Uncultured prokaryote clone 1032 16S ribosomal RNA gene, partial sequence",1.96e-96,366,93.2,98,98,"198431",NA,NA,NA,NA,NA,NA,"uncultured prokaryote"
"38","ASV1032","gi|257144020|emb|FN421712.1|","Uncultured bacterium partial 16S rRNA gene, clone 3_H10",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"39","ASV1033","gi|1682890077|gb|MN067621.1|","Novosphingobium sp. strain FW305-C-66 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1874826","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium sp."
"40","ASV1034","gi|298391449|gb|HM478311.1|","Uncultured organism clone UUAV11CA041 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"155900",NA,NA,NA,NA,NA,NA,"uncultured organism"
"41","ASV1035","gi|1708292819|gb|MN218406.1|","Actinomycetes bacterium strain 3H15P-2 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1883427","Bacteria","Actinomycetota","Actinomycetes",NA,NA,NA,"Actinomycetes bacterium"
"42","ASV1036","gi|930642285|gb|KT437375.1|","Uncultured bacterium clone denovo9147 16S ribosomal RNA gene, partial sequence",9.23e-100,377,93.05,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"43","ASV1037","gi|1827354748|gb|MT270805.1|","Sphingomonas sp. strain YZX-4 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"28214","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp."
"44","ASV1038","gi|258683944|emb|FP081165.1|","16S rDNA sequence amplified from human fecal sample",2.43e-125,462,99.605,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"45","ASV1039","gi|1803051853|gb|MT007999.1|","Wohlfahrtiimonas sp. strain 6a2R-MA08 16S ribosomal RNA gene, partial sequence",5.41e-102,385,94.071,100,100,"1940239","Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Ignatzschineriaceae","Wohlfahrtiimonas","Wohlfahrtiimonas sp."
"46","ASV1040","gi|1109173241|gb|KY255732.1|","Uncultured bacterium clone js5171 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"47","ASV1041","gi|1773990314|gb|MN655317.1|","Uncultured Skermanella sp. clone OTU4 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"316073","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Skermanella","uncultured Skermanella sp."
"48","ASV1042","gi|1495171144|gb|MK079396.1|","Bacterium strain 561 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1869227","Bacteria",NA,NA,NA,NA,NA,"bacterium"
"49","ASV1043","gi|396083961|gb|JX114476.1|","Uncultured Acidobacteria bacterium clone SNNP_2012-143 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"171953","Bacteria","Acidobacteriota",NA,NA,NA,NA,"uncultured Acidobacteriota bacterium"
"50","ASV1044","gi|1770736430|gb|MN625845.1|","Bacterium strain Y7 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1869227","Bacteria",NA,NA,NA,NA,NA,"bacterium"
"51","ASV1045","gi|1379011269|gb|MH226424.1|","Uncultured bacterium clone OTU651 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"52","ASV1046","gi|1109171100|gb|KY253591.1|","Uncultured bacterium clone js2876 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
